a_pred,a_true,dataset,task,idx,vid
A,A,TVBench/Action Count,video/QA,597,action_count/video_6984.mp4
A,A,TVBench/Action Count,video/QA,598,action_count/video_114.mp4
A,C,TVBench/Action Count,video/QA,599,action_count/video_137.mp4
A,B,TVBench/Action Count,video/QA,600,action_count/video_3917.mp4
A,C,TVBench/Action Count,video/QA,601,action_count/video_1295.mp4
A,D,TVBench/Action Count,video/QA,602,action_count/video_3178.mp4
A,B,TVBench/Action Count,video/QA,603,action_count/video_607.mp4
A,C,TVBench/Action Count,video/QA,604,action_count/video_5584.mp4
A,D,TVBench/Action Count,video/QA,605,action_count/video_6532.mp4
A,B,TVBench/Action Count,video/QA,606,action_count/video_4835.mp4
A,B,TVBench/Action Count,video/QA,607,action_count/video_2314.mp4
A,A,TVBench/Action Count,video/QA,608,action_count/video_4659.mp4
A,C,TVBench/Action Count,video/QA,609,action_count/video_8951.mp4
A,B,TVBench/Action Count,video/QA,610,action_count/video_7390.mp4
A,D,TVBench/Action Count,video/QA,611,action_count/video_8327.mp4
A,A,TVBench/Action Count,video/QA,612,action_count/video_1794.mp4
A,B,TVBench/Action Count,video/QA,613,action_count/video_9484.mp4
A,D,TVBench/Action Count,video/QA,614,action_count/video_318.mp4
A,A,TVBench/Action Count,video/QA,615,action_count/video_2751.mp4
A,D,TVBench/Action Count,video/QA,616,action_count/video_10844.mp4
A,B,TVBench/Action Count,video/QA,617,action_count/video_7768.mp4
A,A,TVBench/Action Count,video/QA,618,action_count/video_11153.mp4
A,A,TVBench/Action Count,video/QA,619,action_count/video_9629.mp4
A,B,TVBench/Action Count,video/QA,620,action_count/video_11370.mp4
A,A,TVBench/Action Count,video/QA,621,action_count/video_1225.mp4
A,D,TVBench/Action Count,video/QA,622,action_count/video_2958.mp4
A,C,TVBench/Action Count,video/QA,623,action_count/video_2024.mp4
A,B,TVBench/Action Count,video/QA,624,action_count/video_1218.mp4
A,C,TVBench/Action Count,video/QA,625,action_count/video_137.mp4
A,C,TVBench/Action Count,video/QA,626,action_count/video_10614.mp4
A,A,TVBench/Action Count,video/QA,627,action_count/video_6558.mp4
A,A,TVBench/Action Count,video/QA,628,action_count/video_5626.mp4
A,C,TVBench/Action Count,video/QA,629,action_count/video_8140.mp4
A,B,TVBench/Action Count,video/QA,630,action_count/video_2267.mp4
A,C,TVBench/Action Count,video/QA,631,action_count/video_1981.mp4
A,A,TVBench/Action Count,video/QA,632,action_count/video_9945.mp4
A,A,TVBench/Action Count,video/QA,633,action_count/video_10490.mp4
A,C,TVBench/Action Count,video/QA,634,action_count/video_1746.mp4
A,B,TVBench/Action Count,video/QA,635,action_count/video_10736.mp4
A,B,TVBench/Action Count,video/QA,636,action_count/video_10736.mp4
A,A,TVBench/Action Count,video/QA,637,action_count/video_1838.mp4
A,B,TVBench/Action Count,video/QA,638,action_count/video_923.mp4
A,A,TVBench/Action Count,video/QA,639,action_count/video_5931.mp4
A,C,TVBench/Action Count,video/QA,640,action_count/video_2915.mp4
A,A,TVBench/Action Count,video/QA,641,action_count/video_8321.mp4
A,D,TVBench/Action Count,video/QA,642,action_count/video_6984.mp4
A,D,TVBench/Action Count,video/QA,643,action_count/video_9853.mp4
A,C,TVBench/Action Count,video/QA,644,action_count/video_9915.mp4
B,B,TVBench/Action Count,video/QA,645,action_count/video_5409.mp4
A,B,TVBench/Action Count,video/QA,646,action_count/video_6762.mp4
A,D,TVBench/Action Count,video/QA,647,action_count/video_6997.mp4
A,A,TVBench/Action Count,video/QA,648,action_count/video_1133.mp4
A,C,TVBench/Action Count,video/QA,649,action_count/video_8379.mp4
A,D,TVBench/Action Count,video/QA,650,action_count/video_3013.mp4
A,D,TVBench/Action Count,video/QA,651,action_count/video_2237.mp4
A,A,TVBench/Action Count,video/QA,652,action_count/video_6997.mp4
A,D,TVBench/Action Count,video/QA,653,action_count/video_1295.mp4
A,C,TVBench/Action Count,video/QA,654,action_count/video_10106.mp4
A,C,TVBench/Action Count,video/QA,655,action_count/video_3757.mp4
A,A,TVBench/Action Count,video/QA,656,action_count/video_1031.mp4
A,A,TVBench/Action Count,video/QA,657,action_count/video_6719.mp4
A,A,TVBench/Action Count,video/QA,658,action_count/video_7916.mp4
A,A,TVBench/Action Count,video/QA,659,action_count/video_7742.mp4
A,A,TVBench/Action Count,video/QA,660,action_count/video_2292.mp4
A,D,TVBench/Action Count,video/QA,661,action_count/video_5103.mp4
A,B,TVBench/Action Count,video/QA,662,action_count/video_7425.mp4
A,A,TVBench/Action Count,video/QA,663,action_count/video_4599.mp4
A,B,TVBench/Action Count,video/QA,664,action_count/video_7276.mp4
A,A,TVBench/Action Count,video/QA,665,action_count/video_4853.mp4
B,B,TVBench/Action Count,video/QA,666,action_count/video_8340.mp4
A,B,TVBench/Action Count,video/QA,667,action_count/video_11455.mp4
A,D,TVBench/Action Count,video/QA,668,action_count/video_2586.mp4
A,C,TVBench/Action Count,video/QA,669,action_count/video_4507.mp4
A,C,TVBench/Action Count,video/QA,670,action_count/video_923.mp4
A,C,TVBench/Action Count,video/QA,671,action_count/video_322.mp4
A,B,TVBench/Action Count,video/QA,672,action_count/video_10106.mp4
A,D,TVBench/Action Count,video/QA,673,action_count/video_2661.mp4
A,A,TVBench/Action Count,video/QA,674,action_count/video_10357.mp4
A,B,TVBench/Action Count,video/QA,675,action_count/video_892.mp4
A,A,TVBench/Action Count,video/QA,676,action_count/video_9261.mp4
A,C,TVBench/Action Count,video/QA,677,action_count/video_3531.mp4
A,B,TVBench/Action Count,video/QA,678,action_count/video_3757.mp4
A,D,TVBench/Action Count,video/QA,679,action_count/video_4822.mp4
A,C,TVBench/Action Count,video/QA,680,action_count/video_9050.mp4
A,B,TVBench/Action Count,video/QA,681,action_count/video_554.mp4
A,B,TVBench/Action Count,video/QA,682,action_count/video_10844.mp4
A,D,TVBench/Action Count,video/QA,683,action_count/video_3668.mp4
A,A,TVBench/Action Count,video/QA,684,action_count/video_6580.mp4
A,A,TVBench/Action Count,video/QA,685,action_count/video_1496.mp4
D,C,TVBench/Action Count,video/QA,686,action_count/video_2967.mp4
A,C,TVBench/Action Count,video/QA,687,action_count/video_407.mp4
A,A,TVBench/Action Count,video/QA,688,action_count/video_3764.mp4
A,C,TVBench/Action Count,video/QA,689,action_count/video_10490.mp4
A,C,TVBench/Action Count,video/QA,690,action_count/video_9420.mp4
A,B,TVBench/Action Count,video/QA,691,action_count/video_9714.mp4
A,C,TVBench/Action Count,video/QA,692,action_count/video_10470.mp4
A,D,TVBench/Action Count,video/QA,693,action_count/video_8711.mp4
A,A,TVBench/Action Count,video/QA,694,action_count/video_6163.mp4
A,C,TVBench/Action Count,video/QA,695,action_count/video_9714.mp4
D,D,TVBench/Action Count,video/QA,696,action_count/video_8826.mp4
B,D,TVBench/Action Count,video/QA,697,action_count/video_4558.mp4
D,C,TVBench/Action Count,video/QA,698,action_count/video_6993.mp4
A,D,TVBench/Action Count,video/QA,699,action_count/video_2292.mp4
A,A,TVBench/Action Count,video/QA,700,action_count/video_10937.mp4
A,A,TVBench/Action Count,video/QA,701,action_count/video_9068.mp4
A,C,TVBench/Action Count,video/QA,702,action_count/video_957.mp4
A,B,TVBench/Action Count,video/QA,703,action_count/video_2877.mp4
A,B,TVBench/Action Count,video/QA,704,action_count/video_7666.mp4
A,D,TVBench/Action Count,video/QA,705,action_count/video_318.mp4
B,D,TVBench/Action Count,video/QA,706,action_count/video_4518.mp4
A,C,TVBench/Action Count,video/QA,707,action_count/video_5425.mp4
A,A,TVBench/Action Count,video/QA,708,action_count/video_10205.mp4
A,B,TVBench/Action Count,video/QA,709,action_count/video_9087.mp4
A,D,TVBench/Action Count,video/QA,710,action_count/video_604.mp4
A,B,TVBench/Action Count,video/QA,711,action_count/video_5835.mp4
A,C,TVBench/Action Count,video/QA,712,action_count/video_2956.mp4
A,C,TVBench/Action Count,video/QA,713,action_count/video_1955.mp4
A,D,TVBench/Action Count,video/QA,714,action_count/video_36.mp4
A,B,TVBench/Action Count,video/QA,715,action_count/video_4885.mp4
A,C,TVBench/Action Count,video/QA,716,action_count/video_3719.mp4
A,B,TVBench/Action Count,video/QA,717,action_count/video_421.mp4
A,D,TVBench/Action Count,video/QA,718,action_count/video_2661.mp4
A,C,TVBench/Action Count,video/QA,719,action_count/video_5176.mp4
A,B,TVBench/Action Count,video/QA,720,action_count/video_4387.mp4
A,C,TVBench/Action Count,video/QA,721,action_count/video_6712.mp4
A,A,TVBench/Action Count,video/QA,722,action_count/video_7589.mp4
A,D,TVBench/Action Count,video/QA,723,action_count/video_4659.mp4
A,C,TVBench/Action Count,video/QA,724,action_count/video_1445.mp4
A,D,TVBench/Action Count,video/QA,725,action_count/video_9629.mp4
A,A,TVBench/Action Count,video/QA,726,action_count/video_8686.mp4
A,D,TVBench/Action Count,video/QA,727,action_count/video_8390.mp4
A,B,TVBench/Action Count,video/QA,728,action_count/video_10879.mp4
A,B,TVBench/Action Count,video/QA,729,action_count/video_4507.mp4
A,A,TVBench/Action Count,video/QA,730,action_count/video_4168.mp4
A,A,TVBench/Action Count,video/QA,731,action_count/video_3719.mp4
A,D,TVBench/Action Count,video/QA,732,action_count/video_2958.mp4
A,C,TVBench/Action Count,video/QA,733,action_count/video_2378.mp4
A,C,TVBench/Action Count,video/QA,734,action_count/video_5665.mp4
A,C,TVBench/Action Count,video/QA,735,action_count/video_6580.mp4
B,B,TVBench/Action Count,video/QA,736,action_count/video_1085.mp4
A,A,TVBench/Action Count,video/QA,737,action_count/video_3178.mp4
A,C,TVBench/Action Count,video/QA,738,action_count/video_8418.mp4
A,A,TVBench/Action Count,video/QA,739,action_count/video_819.mp4
A,B,TVBench/Action Count,video/QA,740,action_count/video_1941.mp4
A,C,TVBench/Action Count,video/QA,741,action_count/video_11149.mp4
A,D,TVBench/Action Count,video/QA,742,action_count/video_10206.mp4
B,B,TVBench/Action Count,video/QA,743,action_count/video_7414.mp4
A,A,TVBench/Action Count,video/QA,744,action_count/video_9952.mp4
A,D,TVBench/Action Count,video/QA,745,action_count/video_9056.mp4
A,C,TVBench/Action Count,video/QA,746,action_count/video_4578.mp4
A,B,TVBench/Action Count,video/QA,747,action_count/video_4296.mp4
A,A,TVBench/Action Count,video/QA,748,action_count/video_2878.mp4
A,B,TVBench/Action Count,video/QA,749,action_count/video_927.mp4
A,A,TVBench/Action Count,video/QA,750,action_count/video_9935.mp4
A,C,TVBench/Action Count,video/QA,751,action_count/video_6754.mp4
A,A,TVBench/Action Count,video/QA,752,action_count/video_9168.mp4
A,D,TVBench/Action Count,video/QA,753,action_count/video_309.mp4
B,B,TVBench/Action Count,video/QA,754,action_count/video_6894.mp4
A,C,TVBench/Action Count,video/QA,755,action_count/video_10262.mp4
B,D,TVBench/Action Count,video/QA,756,action_count/video_11265.mp4
A,B,TVBench/Action Count,video/QA,757,action_count/video_598.mp4
A,B,TVBench/Action Count,video/QA,758,action_count/video_7845.mp4
A,B,TVBench/Action Count,video/QA,759,action_count/video_10879.mp4
A,C,TVBench/Action Count,video/QA,760,action_count/video_6745.mp4
A,B,TVBench/Action Count,video/QA,761,action_count/video_6508.mp4
A,C,TVBench/Action Count,video/QA,762,action_count/video_10434.mp4
A,B,TVBench/Action Count,video/QA,763,action_count/video_4797.mp4
A,C,TVBench/Action Count,video/QA,764,action_count/video_8169.mp4
B,C,TVBench/Action Count,video/QA,765,action_count/video_2249.mp4
A,D,TVBench/Action Count,video/QA,766,action_count/video_5931.mp4
A,D,TVBench/Action Count,video/QA,767,action_count/video_5364.mp4
A,B,TVBench/Action Count,video/QA,768,action_count/video_8951.mp4
A,A,TVBench/Action Count,video/QA,769,action_count/video_3153.mp4
A,C,TVBench/Action Count,video/QA,770,action_count/video_1538.mp4
A,C,TVBench/Action Count,video/QA,771,action_count/video_9518.mp4
A,C,TVBench/Action Count,video/QA,772,action_count/video_5911.mp4
A,D,TVBench/Action Count,video/QA,773,action_count/video_3635.mp4
A,D,TVBench/Action Count,video/QA,774,action_count/video_8879.mp4
A,D,TVBench/Action Count,video/QA,775,action_count/video_1826.mp4
A,C,TVBench/Action Count,video/QA,776,action_count/video_5213.mp4
A,B,TVBench/Action Count,video/QA,777,action_count/video_4455.mp4
A,C,TVBench/Action Count,video/QA,778,action_count/video_1538.mp4
A,B,TVBench/Action Count,video/QA,779,action_count/video_4521.mp4
A,C,TVBench/Action Count,video/QA,780,action_count/video_1041.mp4
B,A,TVBench/Action Count,video/QA,781,action_count/video_1790.mp4
A,B,TVBench/Action Count,video/QA,782,action_count/video_957.mp4
A,D,TVBench/Action Count,video/QA,783,action_count/video_604.mp4
A,D,TVBench/Action Count,video/QA,784,action_count/video_682.mp4
A,C,TVBench/Action Count,video/QA,785,action_count/video_3719.mp4
A,C,TVBench/Action Count,video/QA,786,action_count/video_4175.mp4
B,D,TVBench/Action Count,video/QA,787,action_count/video_9758.mp4
A,B,TVBench/Action Count,video/QA,788,action_count/video_3378.mp4
A,A,TVBench/Action Count,video/QA,789,action_count/video_290.mp4
A,A,TVBench/Action Count,video/QA,790,action_count/video_2513.mp4
A,D,TVBench/Action Count,video/QA,791,action_count/video_6927.mp4
A,A,TVBench/Action Count,video/QA,792,action_count/video_9989.mp4
A,A,TVBench/Action Count,video/QA,793,action_count/video_6125.mp4
A,D,TVBench/Action Count,video/QA,794,action_count/video_1745.mp4
A,A,TVBench/Action Count,video/QA,795,action_count/video_2481.mp4
B,B,TVBench/Action Count,video/QA,796,action_count/video_1133.mp4
A,B,TVBench/Action Count,video/QA,797,action_count/video_9041.mp4
A,D,TVBench/Action Count,video/QA,798,action_count/video_11520.mp4
A,A,TVBench/Action Count,video/QA,799,action_count/video_7376.mp4
B,B,TVBench/Action Count,video/QA,800,action_count/video_5021.mp4
A,A,TVBench/Action Count,video/QA,801,action_count/video_9363.mp4
A,B,TVBench/Action Count,video/QA,802,action_count/video_10829.mp4
A,C,TVBench/Action Count,video/QA,803,action_count/video_6356.mp4
A,C,TVBench/Action Count,video/QA,804,action_count/video_8686.mp4
A,A,TVBench/Action Count,video/QA,805,action_count/video_1023.mp4
A,D,TVBench/Action Count,video/QA,806,action_count/video_10291.mp4
A,B,TVBench/Action Count,video/QA,807,action_count/video_2378.mp4
A,D,TVBench/Action Count,video/QA,808,action_count/video_5920.mp4
A,B,TVBench/Action Count,video/QA,809,action_count/video_1445.mp4
A,B,TVBench/Action Count,video/QA,810,action_count/video_7850.mp4
B,D,TVBench/Action Count,video/QA,811,action_count/video_4663.mp4
A,A,TVBench/Action Count,video/QA,812,action_count/video_5668.mp4
A,D,TVBench/Action Count,video/QA,813,action_count/video_6997.mp4
A,C,TVBench/Action Count,video/QA,814,action_count/video_2956.mp4
A,B,TVBench/Action Count,video/QA,815,action_count/video_3434.mp4
A,B,TVBench/Action Count,video/QA,816,action_count/video_6754.mp4
A,A,TVBench/Action Count,video/QA,817,action_count/video_10341.mp4
A,D,TVBench/Action Count,video/QA,818,action_count/video_8358.mp4
A,B,TVBench/Action Count,video/QA,819,action_count/video_8951.mp4
B,B,TVBench/Action Count,video/QA,820,action_count/video_9904.mp4
A,A,TVBench/Action Count,video/QA,821,action_count/video_9894.mp4
B,B,TVBench/Action Count,video/QA,822,action_count/video_3175.mp4
B,A,TVBench/Action Count,video/QA,823,action_count/video_362.mp4
B,D,TVBench/Action Count,video/QA,824,action_count/video_4134.mp4
A,B,TVBench/Action Count,video/QA,825,action_count/video_3569.mp4
A,D,TVBench/Action Count,video/QA,826,action_count/video_4104.mp4
A,D,TVBench/Action Count,video/QA,827,action_count/video_7186.mp4
A,B,TVBench/Action Count,video/QA,828,action_count/video_8035.mp4
A,A,TVBench/Action Count,video/QA,829,action_count/video_8595.mp4
A,C,TVBench/Action Count,video/QA,830,action_count/video_865.mp4
A,B,TVBench/Action Count,video/QA,831,action_count/video_1488.mp4
A,D,TVBench/Action Count,video/QA,832,action_count/video_6143.mp4
A,A,TVBench/Action Count,video/QA,833,action_count/video_5181.mp4
A,D,TVBench/Action Count,video/QA,834,action_count/video_2670.mp4
A,B,TVBench/Action Count,video/QA,835,action_count/video_1955.mp4
A,A,TVBench/Action Count,video/QA,836,action_count/video_4087.mp4
A,A,TVBench/Action Count,video/QA,837,action_count/video_2691.mp4
A,D,TVBench/Action Count,video/QA,838,action_count/video_10459.mp4
A,C,TVBench/Action Count,video/QA,839,action_count/video_9944.mp4
A,A,TVBench/Action Count,video/QA,840,action_count/video_10522.mp4
A,D,TVBench/Action Count,video/QA,841,action_count/video_1892.mp4
A,C,TVBench/Action Count,video/QA,842,action_count/video_6662.mp4
A,C,TVBench/Action Count,video/QA,843,action_count/video_2894.mp4
A,C,TVBench/Action Count,video/QA,844,action_count/video_923.mp4
A,C,TVBench/Action Count,video/QA,845,action_count/video_7589.mp4
A,B,TVBench/Action Count,video/QA,846,action_count/video_6043.mp4
B,B,TVBench/Action Count,video/QA,847,action_count/video_761.mp4
A,B,TVBench/Action Count,video/QA,848,action_count/video_1717.mp4
A,A,TVBench/Action Count,video/QA,849,action_count/video_8924.mp4
A,B,TVBench/Action Count,video/QA,850,action_count/video_8218.mp4
B,D,TVBench/Action Count,video/QA,851,action_count/video_4101.mp4
A,B,TVBench/Action Count,video/QA,852,action_count/video_6392.mp4
A,A,TVBench/Action Count,video/QA,853,action_count/video_9775.mp4
A,A,TVBench/Action Count,video/QA,854,action_count/video_6432.mp4
A,C,TVBench/Action Count,video/QA,855,action_count/video_4196.mp4
C,D,TVBench/Action Localization,video/QA,856,action_localization/EK5K1.mp4
B,D,TVBench/Action Localization,video/QA,857,action_localization/L2502.mp4
D,D,TVBench/Action Localization,video/QA,858,action_localization/TKAUR.mp4
C,A,TVBench/Action Localization,video/QA,859,action_localization/NBMH9.mp4
D,C,TVBench/Action Localization,video/QA,860,action_localization/J95U1.mp4
B,C,TVBench/Action Localization,video/QA,861,action_localization/YAFX0.mp4
D,B,TVBench/Action Localization,video/QA,862,action_localization/2UQKZ.mp4
D,A,TVBench/Action Localization,video/QA,863,action_localization/6IL0C.mp4
A,C,TVBench/Action Localization,video/QA,864,action_localization/G6K7T.mp4
C,B,TVBench/Action Localization,video/QA,865,action_localization/OWRDE.mp4
D,C,TVBench/Action Localization,video/QA,866,action_localization/LQMXW.mp4
A,A,TVBench/Action Localization,video/QA,867,action_localization/HXUI5.mp4
B,B,TVBench/Action Localization,video/QA,868,action_localization/28BVI.mp4
C,D,TVBench/Action Localization,video/QA,869,action_localization/3W1GP.mp4
D,C,TVBench/Action Localization,video/QA,870,action_localization/BDY1V.mp4
B,B,TVBench/Action Localization,video/QA,871,action_localization/0TKKR.mp4
A,B,TVBench/Action Localization,video/QA,872,action_localization/AX46Z.mp4
D,B,TVBench/Action Localization,video/QA,873,action_localization/81VSN.mp4
A,B,TVBench/Action Localization,video/QA,874,action_localization/RQRRD.mp4
D,A,TVBench/Action Localization,video/QA,875,action_localization/3P055.mp4
D,A,TVBench/Action Localization,video/QA,876,action_localization/S4P5J.mp4
D,D,TVBench/Action Localization,video/QA,877,action_localization/V1WN7.mp4
B,B,TVBench/Action Localization,video/QA,878,action_localization/VINM0.mp4
C,D,TVBench/Action Localization,video/QA,879,action_localization/D0AGO.mp4
D,A,TVBench/Action Localization,video/QA,880,action_localization/Q948H.mp4
D,B,TVBench/Action Localization,video/QA,881,action_localization/JVOM3.mp4
C,C,TVBench/Action Localization,video/QA,882,action_localization/TDAY1.mp4
D,A,TVBench/Action Localization,video/QA,883,action_localization/Z4Y04.mp4
D,B,TVBench/Action Localization,video/QA,884,action_localization/VXOE4.mp4
C,A,TVBench/Action Localization,video/QA,885,action_localization/PN1F2.mp4
D,A,TVBench/Action Localization,video/QA,886,action_localization/7LWW3.mp4
D,D,TVBench/Action Localization,video/QA,887,action_localization/3QL7J.mp4
D,A,TVBench/Action Localization,video/QA,888,action_localization/1HZGH.mp4
D,B,TVBench/Action Localization,video/QA,889,action_localization/X9M5B.mp4
B,C,TVBench/Action Localization,video/QA,890,action_localization/47RAA.mp4
D,B,TVBench/Action Localization,video/QA,891,action_localization/4BIMI.mp4
B,A,TVBench/Action Localization,video/QA,892,action_localization/TU9K1.mp4
D,C,TVBench/Action Localization,video/QA,893,action_localization/C10FA.mp4
A,B,TVBench/Action Localization,video/QA,894,action_localization/UKSCV.mp4
D,C,TVBench/Action Localization,video/QA,895,action_localization/9JZO2.mp4
B,A,TVBench/Action Localization,video/QA,896,action_localization/JT537.mp4
A,C,TVBench/Action Localization,video/QA,897,action_localization/1NJOQ.mp4
B,D,TVBench/Action Localization,video/QA,898,action_localization/FMZOY.mp4
C,B,TVBench/Action Localization,video/QA,899,action_localization/HHNTA.mp4
A,D,TVBench/Action Localization,video/QA,900,action_localization/DOYQE.mp4
B,C,TVBench/Action Localization,video/QA,901,action_localization/ZMY8M.mp4
C,A,TVBench/Action Localization,video/QA,902,action_localization/FNBYE.mp4
C,D,TVBench/Action Localization,video/QA,903,action_localization/OKHVL.mp4
B,C,TVBench/Action Localization,video/QA,904,action_localization/LGJAR.mp4
B,A,TVBench/Action Localization,video/QA,905,action_localization/9POJB.mp4
B,B,TVBench/Action Localization,video/QA,906,action_localization/NI15V.mp4
D,A,TVBench/Action Localization,video/QA,907,action_localization/BI6Y4.mp4
C,C,TVBench/Action Localization,video/QA,908,action_localization/JIUH7.mp4
A,D,TVBench/Action Localization,video/QA,909,action_localization/LGPWK.mp4
D,D,TVBench/Action Localization,video/QA,910,action_localization/759MY.mp4
D,C,TVBench/Action Localization,video/QA,911,action_localization/IBWAW.mp4
D,A,TVBench/Action Localization,video/QA,912,action_localization/QOYH2.mp4
B,C,TVBench/Action Localization,video/QA,913,action_localization/AB2V6.mp4
D,C,TVBench/Action Localization,video/QA,914,action_localization/IKJGO.mp4
A,D,TVBench/Action Localization,video/QA,915,action_localization/XXS99.mp4
B,D,TVBench/Action Localization,video/QA,916,action_localization/O3HV7.mp4
B,D,TVBench/Action Localization,video/QA,917,action_localization/HIKIC.mp4
D,C,TVBench/Action Localization,video/QA,918,action_localization/J48N6.mp4
D,B,TVBench/Action Localization,video/QA,919,action_localization/VCYH8.mp4
B,B,TVBench/Action Localization,video/QA,920,action_localization/RBQ9Y.mp4
D,C,TVBench/Action Localization,video/QA,921,action_localization/J2XFQ.mp4
B,B,TVBench/Action Localization,video/QA,922,action_localization/OY3LS.mp4
C,B,TVBench/Action Localization,video/QA,923,action_localization/5OV3M.mp4
D,A,TVBench/Action Localization,video/QA,924,action_localization/21WN7.mp4
D,C,TVBench/Action Localization,video/QA,925,action_localization/AHBE8.mp4
D,A,TVBench/Action Localization,video/QA,926,action_localization/OK45U.mp4
B,D,TVBench/Action Localization,video/QA,927,action_localization/S5KQ1.mp4
A,A,TVBench/Action Localization,video/QA,928,action_localization/9VF2C.mp4
D,D,TVBench/Action Localization,video/QA,929,action_localization/SW5TC.mp4
A,C,TVBench/Action Localization,video/QA,930,action_localization/ZFT06.mp4
A,D,TVBench/Action Localization,video/QA,931,action_localization/VXZBA.mp4
D,C,TVBench/Action Localization,video/QA,932,action_localization/1GII3.mp4
D,A,TVBench/Action Localization,video/QA,933,action_localization/I52A6.mp4
A,D,TVBench/Action Localization,video/QA,934,action_localization/ZPRJH.mp4
A,B,TVBench/Action Localization,video/QA,935,action_localization/YT2C3.mp4
D,A,TVBench/Action Localization,video/QA,936,action_localization/LR9KL.mp4
A,A,TVBench/Action Localization,video/QA,937,action_localization/RNLTR.mp4
D,A,TVBench/Action Localization,video/QA,938,action_localization/U502L.mp4
D,C,TVBench/Action Localization,video/QA,939,action_localization/ZI1GC.mp4
A,C,TVBench/Action Localization,video/QA,940,action_localization/IALUY.mp4
D,D,TVBench/Action Localization,video/QA,941,action_localization/727IZ.mp4
A,C,TVBench/Action Localization,video/QA,942,action_localization/S06H3.mp4
A,D,TVBench/Action Localization,video/QA,943,action_localization/RFH6M.mp4
B,A,TVBench/Action Localization,video/QA,944,action_localization/XT9D4.mp4
D,D,TVBench/Action Localization,video/QA,945,action_localization/SUG5S.mp4
D,D,TVBench/Action Localization,video/QA,946,action_localization/T9N9R.mp4
B,C,TVBench/Action Localization,video/QA,947,action_localization/ONMCW.mp4
C,A,TVBench/Action Localization,video/QA,948,action_localization/MZZ8Q.mp4
D,C,TVBench/Action Localization,video/QA,949,action_localization/ZIP18.mp4
C,A,TVBench/Action Localization,video/QA,950,action_localization/9YOI8.mp4
B,D,TVBench/Action Localization,video/QA,951,action_localization/O76GM.mp4
B,A,TVBench/Action Localization,video/QA,952,action_localization/BIQGN.mp4
A,A,TVBench/Action Localization,video/QA,953,action_localization/NKE77.mp4
D,C,TVBench/Action Localization,video/QA,954,action_localization/MJYTA.mp4
D,A,TVBench/Action Localization,video/QA,955,action_localization/2Y8XQ.mp4
A,A,TVBench/Action Localization,video/QA,956,action_localization/MB281.mp4
B,D,TVBench/Action Localization,video/QA,957,action_localization/FYYFX.mp4
B,B,TVBench/Action Localization,video/QA,958,action_localization/K5NFS.mp4
D,C,TVBench/Action Localization,video/QA,959,action_localization/MNNJS.mp4
C,B,TVBench/Action Localization,video/QA,960,action_localization/USPJK.mp4
C,C,TVBench/Action Localization,video/QA,961,action_localization/V6H2O.mp4
B,D,TVBench/Action Localization,video/QA,962,action_localization/E6DLK.mp4
C,A,TVBench/Action Localization,video/QA,963,action_localization/EJFUA.mp4
A,B,TVBench/Action Localization,video/QA,964,action_localization/YYLKT.mp4
D,B,TVBench/Action Localization,video/QA,965,action_localization/URK3G.mp4
D,D,TVBench/Action Localization,video/QA,966,action_localization/LLQBB.mp4
A,B,TVBench/Action Localization,video/QA,967,action_localization/TR652.mp4
C,B,TVBench/Action Localization,video/QA,968,action_localization/W1CG2.mp4
C,D,TVBench/Action Localization,video/QA,969,action_localization/ECW3E.mp4
C,C,TVBench/Action Localization,video/QA,970,action_localization/7EJUR.mp4
D,A,TVBench/Action Localization,video/QA,971,action_localization/GFK4S.mp4
C,A,TVBench/Action Localization,video/QA,972,action_localization/ZHRPD.mp4
A,B,TVBench/Action Localization,video/QA,973,action_localization/O1LMX.mp4
D,A,TVBench/Action Localization,video/QA,974,action_localization/YQOCU.mp4
D,C,TVBench/Action Localization,video/QA,975,action_localization/RVVDR.mp4
D,D,TVBench/Action Localization,video/QA,976,action_localization/AZPOX.mp4
A,B,TVBench/Action Localization,video/QA,977,action_localization/50E06.mp4
C,A,TVBench/Action Localization,video/QA,978,action_localization/XRG9K.mp4
D,D,TVBench/Action Localization,video/QA,979,action_localization/8CCEV.mp4
A,A,TVBench/Action Localization,video/QA,980,action_localization/35ZZP.mp4
C,C,TVBench/Action Localization,video/QA,981,action_localization/T56KO.mp4
A,B,TVBench/Action Localization,video/QA,982,action_localization/WKVWF.mp4
C,C,TVBench/Action Localization,video/QA,983,action_localization/MZZK2.mp4
D,D,TVBench/Action Localization,video/QA,984,action_localization/1LBUG.mp4
D,D,TVBench/Action Localization,video/QA,985,action_localization/5I5E5.mp4
A,A,TVBench/Action Localization,video/QA,986,action_localization/ALJ7B.mp4
A,A,TVBench/Action Localization,video/QA,987,action_localization/S2S7I.mp4
B,A,TVBench/Action Localization,video/QA,988,action_localization/UM5II.mp4
A,B,TVBench/Action Localization,video/QA,989,action_localization/RX7TC.mp4
B,B,TVBench/Action Localization,video/QA,990,action_localization/DAA3F.mp4
A,B,TVBench/Action Localization,video/QA,991,action_localization/98W87.mp4
B,B,TVBench/Action Localization,video/QA,992,action_localization/B0XI9.mp4
A,D,TVBench/Action Localization,video/QA,993,action_localization/U9NI5.mp4
C,C,TVBench/Action Localization,video/QA,994,action_localization/4WVTC.mp4
C,C,TVBench/Action Localization,video/QA,995,action_localization/7IPW7.mp4
A,C,TVBench/Action Localization,video/QA,996,action_localization/D7W4E.mp4
